"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CXCR6",113.636751842813,-5.61542317838928,0.565566964354426,-9.92883872699157,3.11866304318553e-23,5.00358298648687e-19
"EMP3",2983.0942188783,-4.31485452251371,0.504217443556028,-8.55752726855879,1.15314109509411e-17,9.25049786484497e-14
"IL17A",44.3832847287858,-4.55213066537162,0.552659873741367,-8.236767099726,1.76926424900422e-16,9.46202520367458e-13
"KLF2",229.417053851645,-3.28860417931963,0.451934075665457,-7.27673427695683,3.4199795004949e-13,1.3717537776485e-09
"IL1R2",70.2493016517129,-3.85520344254562,0.536216159336588,-7.18964427949227,6.49603425622598e-13,2.08444747213779e-09
"FOXP3",106.019385217192,-3.24477612577868,0.475312275222185,-6.82661966653798,8.69387790704321e-12,2.32474295234336e-08
"VIM",5198.47593726554,-3.46375230749629,0.518341299489815,-6.68237763594285,2.35096246374907e-11,5.38840596691288e-08
"TNIP3",79.2092821969478,-3.46999331129177,0.525641984954708,-6.60143864191283,4.07186793508281e-11,8.16613114380858e-08
"IL17F",21.7638629626629,-3.27300862335829,0.502817770806938,-6.50933362618759,7.54849066321409e-11,1.34564426889563e-07
"IL10",48.9457469140126,-3.12025225761788,0.483937318937119,-6.44763719498004,1.13607318346535e-10,1.82271581555181e-07
"LINC00861",367.027181365457,-3.06514402415289,0.502041429215647,-6.10536072479445,1.02568762028769e-09,1.49601201635415e-06
"RASGRP2",229.670904831443,-2.60404877707914,0.437614724747092,-5.9505510893951,2.67241135487086e-09,3.57301398146234e-06
"GZMK",102.747716562814,-3.17830721855386,0.537479124836042,-5.91335936911672,3.35199730829213e-09,4.13688037032608e-06
"CCL5",963.097808928844,-3.2984113223464,0.55921450878235,-5.89829353592499,3.67280161526089e-09,4.20903065108898e-06
"PRDM1",556.269687953165,-2.83609763252253,0.483346873304884,-5.86762383116439,4.42084818423738e-09,4.7285392178603e-06
"ANXA1",121.566349850305,-4.70610694866155,0.81081966595614,-5.80413518104792,6.46990640949802e-09,6.48769865212414e-06
"VIM-AS1",1124.30143933156,-2.81811280801,0.524350526215027,-5.37448265447976,7.68028759775906e-08,7.24838436579096e-05
"TRABD2A",25.2791879192089,-3.17319284373184,0.592898645930478,-5.35199880369422,8.69879741173885e-08,7.75352809299656e-05
"CPXM1",85.9352257020091,2.30013643176652,0.434569642999512,5.29290637028942,1.20387565279266e-07,0.00010165779459687
"GZMA",1002.21222396688,-2.78217280635246,0.533964046235449,-5.21041224772963,1.8842148519312e-07,0.000151151715421921
"ADAM8",550.570542722077,-2.84070330265303,0.562097923488384,-5.05375163996978,4.3321488089272e-07,0.000330976169002038
"ITGA5",28.7937324172317,-2.63100076961852,0.528166302775669,-4.98138702865337,6.31301352184785e-07,0.000460390858838759
"EPHA1",19.6739179983773,-2.74876841583605,0.55692434350563,-4.93562267099618,7.98954433579037e-07,0.000557322823145308
"GPR171",941.571361959018,-2.69001124957709,0.54718569630545,-4.91608473638804,8.82921930368917e-07,0.000590233310451621
"CYB561",37.770195584783,-2.18943805442241,0.448131566129279,-4.88570370825158,1.03060086057983e-06,0.000661398408285709
"DPP4",708.66163428528,-3.68531709044105,0.759325865951386,-4.85340649606818,1.21358575076511e-06,0.00074827354319657
"GPA33",18.8830750618488,-2.27245991552884,0.469242264015769,-4.84282872578688,1.28003620291645e-06,0.00074827354319657
"PIK3R5",116.85146407294,-2.43745264352934,0.503725001710125,-4.83885579483705,1.30588750994166e-06,0.00074827354319657
"CST7",1215.76795191817,-2.50751954083272,0.520009078003348,-4.82206878091573,1.42076934416851e-06,0.000786028391649639
"S1PR1",229.150518525391,-2.49630883505234,0.5195647814741,-4.80461517805317,1.5504942569283e-06,0.000829204328605253
"FLT3LG",293.810590160818,-2.13692152467267,0.45234122342106,-4.72413614773183,2.31095564315808e-06,0.00119603136576865
"CISH",1929.71821284453,-2.41248417884527,0.514817100718536,-4.68609953996894,2.7846087184357e-06,0.0013961331962057
"FKBP11",366.962176083754,-2.27760028601624,0.492367759307253,-4.62581118069298,3.73135119215524e-06,0.00181411510687693
"PTGER2",253.394512330284,-2.93742166421268,0.643968878181436,-4.56143419928606,5.08053980016804e-06,0.00239741707511459
"VIPR2",74.0662577624832,2.1785590991001,0.478867694531569,4.54939667882833,5.37999416061593e-06,0.00246618932322634
"SPON1",19.8704893261526,-2.0767139710408,0.466466911457733,-4.45200703422022,8.50713785026938e-06,0.00379134776860339
"FXYD7",39.6244392343223,-2.21557238940885,0.502863937555345,-4.40590828640403,1.05341530131906e-05,0.00456783651199
"IL2RA",1903.39733876682,-2.29815227599286,0.527713418512287,-4.35492484248692,1.3311258102382e-05,0.00562015328933204
"GCSAM",37.9709235176845,-1.89496754936528,0.437020583843589,-4.33610593967695,1.45029065851282e-05,0.00592328581030542
"MEOX1",27.0072584665377,-2.89673550014512,0.668663643274826,-4.33212651723991,1.47676036158201e-05,0.00592328581030542
"SYTL2",312.721876399091,-2.15746703772773,0.502393117846229,-4.29438015985737,1.75182076019084e-05,0.00685517372597605
"GJB6",26.2115284507029,1.75404022168392,0.413078613190485,4.24626249259501,2.17365962482201e-05,0.00830337976682009
"DOK3",37.3031312987613,1.89911168040037,0.45087919800392,4.21201884852506,2.53098419058061e-05,0.00944351403573846
"RUNX3",1229.92291333879,-1.91585978980542,0.456223369608153,-4.199389854691,2.67635179399927e-05,0.00975895185975552
"IL23R",10.3375757795886,-2.33711378725277,0.560934870153463,-4.16646193989219,3.09363514066282e-05,0.0110298404881765
"NSG1",24.0678339321879,-1.84744511382674,0.444051177059546,-4.16043287186019,3.17644972161946e-05,0.0110789042029701
"EMR1",185.725966409498,-2.42092812834745,0.583472291241178,-4.14917411621653,3.3367694415388e-05,0.0113904529617124
"CCL4",4564.99257664522,-3.22934101334256,0.782877843835401,-4.12496156171911,3.70796678560673e-05,0.0122733033431224
"CCR2",11.2132288229532,-2.42717679432838,0.588768279221876,-4.12246528895234,3.74839107337944e-05,0.0122733033431224
"SYTL3",610.053833362146,-2.21297493303437,0.538403226525076,-4.11025570429286,3.95221215315487e-05,0.0126818583570434
"CCR7",2619.85117314861,-1.96758288529151,0.482961375954054,-4.07399635510127,4.62132049438267e-05,0.0142585511561299
"CLIC5",34.4338407433322,-1.97290552231377,0.484005968360977,-4.07620081420639,4.57774890971524e-05,0.0142585511561299
"CCR6",48.3483735022872,-2.9250099436009,0.721139497670762,-4.05609449080033,4.99000788912386e-05,0.0151056012402082
"MAFB",56.4339904629704,2.02085873772441,0.499810077585842,4.04325328429843,5.27146212930312e-05,0.0156620997041739
"CD79A",868.761536150586,2.07105301807418,0.516436867298796,4.01027337360081,6.06484876731019e-05,0.017409564512946
"FAM46A",155.447655805346,1.63853609056359,0.408631355191858,4.0098148850919,6.0766368282534e-05,0.017409564512946
"IER3",125.017790733898,-2.04873752939686,0.520703406518432,-3.93455756914533,8.33500895914616e-05,0.0234608567965861
